knn,1000,0.8058,0.7995457680068997,0.016134262084960938,7.730755805969238
naive_bayes,1000,0.6558,0.6535435195598553,0.004580497741699219,0.22456741333007812
lda,1000,0.7908,0.7928882416524482,0.06782937049865723,0.13994693756103516
logistic_regression,1000,0.7396,0.7371696433604968,0.35839390754699707,0.10402965545654297
perceptron,1000,0.7189,0.7236819952675504,0.04153633117675781,0.04606151580810547
knn,2000,0.9292,0.9286996792913488,0.03715348243713379,13.749558687210083
naive_bayes,2000,0.8556,0.8579203694616383,0.00798654556274414,0.24916648864746094
lda,2000,0.9055,0.9062580044706349,0.09776067733764648,0.08624553680419922
logistic_regression,2000,0.862,0.859057373979273,0.9458293914794922,0.05506277084350586
perceptron,2000,0.8697,0.8685896937089105,0.10725665092468262,0.0475161075592041
knn,3000,0.943,0.9427519472665379,0.05041217803955078,21.260687828063965
naive_bayes,3000,0.8691,0.8712125134756883,0.010487794876098633,0.2541818618774414
lda,3000,0.9169,0.9173630424193754,0.5196478366851807,0.08737659454345703
logistic_regression,3000,0.8937,0.8922972775230306,4.418717622756958,0.12200784683227539
perceptron,3000,0.8777,0.8764958463052106,0.16672134399414062,0.02482128143310547
knn,4000,0.9477,0.9474394089374768,0.08483409881591797,27.98844027519226
naive_bayes,4000,0.8796,0.8815188927794938,0.01943373680114746,0.21802639961242676
lda,4000,0.9182,0.9185517548090767,0.5878791809082031,0.02215266227722168
logistic_regression,4000,0.9004,0.8992940910337612,1.7003111839294434,0.0841681957244873
perceptron,4000,0.8811,0.8807855230537797,0.22173666954040527,0.07392287254333496
knn,5000,0.9543,0.9541941304278689,0.11580371856689453,40.48318696022034
naive_bayes,5000,0.8971,0.8984696600530618,0.016556262969970703,0.32549452781677246
lda,5000,0.9275,0.9277459147724391,0.29175877571105957,0.03332328796386719
logistic_regression,5000,0.9126,0.9119207740354642,1.4782018661499023,0.03389334678649902
perceptron,5000,0.8815,0.8853027807625534,0.2513449192047119,0.02194046974182129
knn,6000,0.9533,0.9531517565402834,0.20170307159423828,47.94397234916687
naive_bayes,6000,0.8941,0.8954993477781511,0.01610851287841797,0.2242569923400879
lda,6000,0.9295,0.9296658257404351,0.6719956398010254,0.044733524322509766
logistic_regression,6000,0.9198,0.9193455713436146,3.459779977798462,0.07733988761901855
perceptron,6000,0.9182,0.9179718590722475,0.33147239685058594,0.12105131149291992
knn,7000,0.9555,0.955402014016479,0.1444857120513916,43.184778928756714
naive_bayes,7000,0.8958,0.8970592391436594,0.018877267837524414,0.2814514636993408
lda,7000,0.9305,0.9307570113434025,0.3936347961425781,0.012192726135253906
logistic_regression,7000,0.9253,0.9250441322369419,4.359956502914429,0.0132293701171875
perceptron,7000,0.8848,0.8830405239005126,2.6538424491882324,0.0840139389038086
knn,8000,0.9573,0.9571841066924444,0.17270636558532715,61.524537324905396
naive_bayes,8000,0.8948,0.89613970261008,0.02653360366821289,0.26409173011779785
lda,8000,0.9325,0.9326820104370845,1.0700843334197998,0.027164459228515625
logistic_regression,8000,0.9277,0.9274570769086813,2.8398122787475586,0.11777710914611816
perceptron,8000,0.9145,0.9150212291821972,0.3052551746368408,0.0867304801940918
knn,9000,0.9579,0.9577926402046362,0.2192213535308838,63.65343713760376
naive_bayes,9000,0.8958,0.8966806103004097,0.06090068817138672,0.4406318664550781
lda,9000,0.9319,0.9320550454040971,0.5694417953491211,0.026868581771850586
logistic_regression,9000,0.9294,0.9291614801727303,4.406580209732056,0.020429611206054688
perceptron,9000,0.8797,0.8808743186896476,0.6265344619750977,0.016209125518798828
knn,10000,0.9588,0.9586939857004452,0.6174333095550537,66.49793887138367
naive_bayes,10000,0.9001,0.9009075240945995,0.023833274841308594,0.22608399391174316
lda,10000,0.9316,0.9317578567480923,1.1542248725891113,0.09209680557250977
logistic_regression,10000,0.9322,0.9320136674577101,5.523610591888428,0.10155820846557617
perceptron,10000,0.9056,0.9052247696627066,0.3679983615875244,0.05351376533508301
knn,11000,0.9601,0.9600120850803292,0.2606329917907715,76.96591997146606
naive_bayes,11000,0.8988,0.8996919046709317,0.028150081634521484,0.27718687057495117
lda,11000,0.933,0.9331295128909025,1.5106778144836426,0.011455297470092773
logistic_regression,11000,0.9337,0.9335446244423167,6.888660430908203,0.06029033660888672
perceptron,11000,0.9107,0.9108823385065341,0.39603638648986816,0.01098012924194336
knn,12000,0.9621,0.9620204163363827,0.31658244132995605,90.69084906578064
naive_bayes,12000,0.9001,0.9010030885325788,0.04963421821594238,0.3148460388183594
lda,12000,0.9338,0.9339327130883417,1.679295539855957,0.023313522338867188
logistic_regression,12000,0.9364,0.9362448328446938,6.641576051712036,0.10473060607910156
perceptron,12000,0.926,0.9253595191675815,4.036146879196167,0.10815691947937012
knn,13000,0.9626,0.9625239776143834,0.3291444778442383,80.22578477859497
naive_bayes,13000,0.8984,0.8994945397962534,0.042168617248535156,0.21224331855773926
lda,13000,0.9336,0.9337472513513257,1.7538130283355713,0.023174285888671875
logistic_regression,13000,0.9359,0.9357721703944231,6.375564098358154,0.11649131774902344
perceptron,13000,0.9307,0.931223205685171,0.4979395866394043,0.011128664016723633
knn,14000,0.9643,0.9642550914763518,0.35457301139831543,104.89345479011536
naive_bayes,14000,0.8993,0.9003049252874246,0.07508635520935059,0.2902827262878418
lda,14000,0.9343,0.9344480333641725,1.998171091079712,0.05910062789916992
logistic_regression,14000,0.937,0.9368959525681221,7.934823751449585,0.07811284065246582
perceptron,14000,0.9098,0.9115480151064755,0.4970080852508545,0.013519287109375
knn,15000,0.9659,0.965862048880223,0.3659200668334961,87.07584571838379
naive_bayes,15000,0.8995,0.9005378123594976,0.05960249900817871,0.2486274242401123
lda,15000,0.9334,0.9335474103136515,2.0619537830352783,0.02828669548034668
logistic_regression,15000,0.9378,0.9376971249411423,8.005013465881348,0.016977548599243164
perceptron,15000,0.9197,0.9218751969013705,0.5519106388092041,0.046636343002319336
knn,16000,0.9667,0.9666655344508029,0.4394502639770508,100.2397837638855
naive_bayes,16000,0.8977,0.899077816827132,0.07544302940368652,0.23276877403259277
lda,16000,0.9335,0.9336830236670994,2.234607458114624,0.1144866943359375
logistic_regression,16000,0.937,0.936919039243738,24.779909372329712,0.15929627418518066
perceptron,16000,0.9292,0.9300344626682352,0.5411312580108643,0.02879953384399414
knn,17000,0.9668,0.9667595764208398,0.47226381301879883,103.61527013778687
naive_bayes,17000,0.9017,0.9029237068899081,0.046746015548706055,0.24968314170837402
lda,17000,0.933,0.9331803474820257,2.1372926235198975,0.01699233055114746
logistic_regression,17000,0.9389,0.9388508679360464,9.681892156600952,0.06819820404052734
perceptron,17000,0.8975,0.8989444317601974,0.541532039642334,0.04255938529968262
knn,18000,0.9677,0.9676599451209671,0.4919266700744629,110.14685678482056
naive_bayes,18000,0.9004,0.9017271557212866,0.04409313201904297,0.2376549243927002
lda,18000,0.9339,0.9340747023340596,1.8174235820770264,0.021679162979125977
logistic_regression,18000,0.9398,0.9397562433918202,14.4285306930542,0.051560401916503906
perceptron,18000,0.9232,0.9244615942551012,0.9022259712219238,0.012181758880615234
knn,19000,0.9675,0.9674526299782439,0.6611452102661133,147.15070176124573
naive_bayes,19000,0.9018,0.9030519658777723,0.051747798919677734,0.24609971046447754
lda,19000,0.9343,0.9344719652940167,2.4142978191375732,0.01684713363647461
logistic_regression,19000,0.9413,0.9412394588503619,10.955800533294678,0.025700807571411133
perceptron,19000,0.8828,0.8824251031181871,0.628645658493042,0.08817124366760254
knn,20000,0.966,0.9659451104096888,0.6993091106414795,168.04668593406677
naive_bayes,20000,0.9031,0.9040570409308099,0.05517172813415527,0.20147371292114258
lda,20000,0.9341,0.9342728258018402,2.6159780025482178,0.01819157600402832
logistic_regression,20000,0.9399,0.9398552675373026,11.937300443649292,0.12259626388549805
perceptron,20000,0.9391,0.9399518077572917,0.599414587020874,0.013464689254760742
